Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
321,Wesley Matthews\matthwe02,SG,34,LAL,52,7,19.4,1.5,4.3,.342,1.1,3.4,.326,0.4,0.9,.404,.471,0.6,0.7,.838,0.3,1.3,1.5,0.9,0.6,0.3,0.4,1.4,4.6
322,Tyrese Maxey\maxeyty01,SG,20,PHI,56,6,14.4,3.0,6.7,.456,0.5,1.6,.283,2.6,5.0,.512,.491,0.8,0.9,.865,0.2,1.3,1.5,1.7,0.3,0.2,0.7,1.2,7.3
323,Skylar Mays\mayssk01,SG,23,ATL,31,0,7.7,1.2,2.7,.424,0.4,1.1,.343,0.8,1.6,.480,.494,0.7,0.8,.880,0.3,0.7,1.0,0.7,0.5,0.0,0.3,0.5,3.4
324,Patrick McCaw\mccawpa01,SF,25,TOR,5,0,6.6,0.2,0.2,1.000,0.0,0.0,,0.2,0.2,1.000,1.000,0.6,0.6,1.000,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.2,1.0
325,CJ McCollum\mccolcj01,SG,29,POR,41,41,33.8,8.5,18.8,.453,3.5,9.0,.392,5.0,9.7,.509,.547,2.3,2.8,.823,0.7,3.4,4.1,4.8,1.0,0.5,1.4,2.0,22.8
326,T.J. McConnell\mccontj01,PG,28,IND,63,2,25.5,3.8,6.9,.558,0.2,0.7,.326,3.6,6.2,.583,.574,0.4,0.7,.659,0.8,2.7,3.6,6.5,1.8,0.3,1.9,1.6,8.3
327,Jaden McDaniels\mcdanja02,PF,20,MIN,59,25,23.9,2.6,5.8,.443,1.2,3.1,.370,1.4,2.7,.528,.542,0.4,0.7,.605,0.8,2.9,3.7,1.1,0.6,0.9,0.7,2.7,6.8
328,Jalen McDaniels\mcdanja01,SF,23,CHO,41,12,17.9,2.6,5.7,.461,0.7,2.0,.345,1.9,3.6,.527,.524,0.9,1.3,.660,0.8,2.5,3.3,1.0,0.6,0.4,1.0,2.0,6.8
329,Doug McDermott\mcderdo01,PF,29,IND,60,23,24.4,5.2,9.9,.531,1.6,4.2,.385,3.6,5.7,.640,.613,1.2,1.5,.822,1.0,2.5,3.5,1.3,0.3,0.1,0.8,1.7,13.3
330,Sean McDermott\mcderse01,SF,24,MEM,18,0,8.8,0.7,1.8,.394,0.3,1.2,.227,0.4,0.6,.727,.470,0.4,0.4,1.000,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2
331,JaVale McGee\mcgeeja01,C,33,TOT,41,1,14.6,3.1,6.1,.518,0.1,0.5,.227,3.0,5.5,.546,.528,1.0,1.6,.662,1.6,3.4,5.0,0.9,0.4,1.2,1.4,2.6,7.5
332,Rodney McGruder\mcgruro01,SG,29,DET,16,2,12.1,2.3,4.4,.529,0.7,1.5,.458,1.6,2.9,.565,.607,0.4,0.5,.750,0.5,0.9,1.4,1.0,0.5,0.1,0.4,0.8,5.7
333,Alfonzo McKinnie\mckinal01,SF,28,LAL,36,0,6.6,1.2,2.3,.512,0.4,1.0,.417,0.8,1.3,.583,.601,0.3,0.5,.529,0.6,0.8,1.4,0.2,0.1,0.0,0.1,0.7,3.1
334,Jordan McLaughlin\mclaujo01,PG,24,MIN,45,2,18.7,2.0,4.8,.406,0.6,1.7,.372,1.3,3.1,.424,.472,0.4,0.5,.750,0.4,1.7,2.1,4.0,1.0,0.1,1.0,0.9,5.0
335,Ben McLemore\mclembe01,SG,27,TOT,47,5,17.0,2.6,7.0,.369,1.9,5.4,.344,0.7,1.7,.449,.500,0.8,1.1,.736,0.3,1.6,2.0,0.8,0.5,0.2,0.9,1.7,7.9
336,Nicolò Melli\mellini01,PF,30,TOT,40,4,12.1,0.9,2.9,.310,0.4,1.7,.250,0.5,1.2,.396,.384,0.3,0.5,.684,0.6,2.0,2.6,1.0,0.3,0.1,0.3,1.4,2.6
337,De'Anthony Melton\meltode01,PG,22,MEM,46,1,20.3,3.5,7.8,.445,1.7,4.0,.425,1.7,3.7,.468,.556,0.8,1.0,.783,0.6,2.6,3.3,2.6,1.2,0.6,1.3,1.7,9.4
338,Sam Merrill\merrisa01,SG,24,MIL,27,1,7.4,1.1,2.3,.484,0.7,1.5,.488,0.4,0.8,.476,.645,0.1,0.1,1.000,0.2,0.8,1.0,0.7,0.2,0.0,0.4,0.6,3.1
339,Chimezie Metu\metuch01,C,23,SAC,30,2,11.1,2.2,4.1,.541,0.2,0.6,.294,2.0,3.5,.581,.561,0.8,1.1,.697,0.9,1.7,2.6,0.7,0.4,0.5,0.7,1.6,5.3
340,Khris Middleton\middlkh01,SF,29,MIL,63,63,33.5,7.5,15.9,.475,2.3,5.3,.425,5.3,10.6,.500,.546,3.1,3.4,.894,0.8,5.2,6.0,5.5,1.1,0.1,2.7,2.4,20.4
341,Darius Miller\milleda01,SF,30,OKC,18,0,10.9,1.2,2.7,.458,0.9,2.3,.405,0.3,0.3,.833,.635,0.7,0.7,1.000,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
342,Patty Mills\millspa02,PG,32,SAS,62,0,25.0,3.8,9.1,.414,2.4,6.4,.374,1.4,2.7,.509,.545,1.0,1.1,.901,0.3,1.5,1.7,2.4,0.6,0.0,0.9,1.2,11.0
343,Paul Millsap\millspa01,PF,35,DEN,52,35,20.9,3.4,7.1,.476,0.9,2.5,.341,2.5,4.6,.550,.536,1.2,1.7,.716,1.4,3.4,4.8,1.7,0.8,0.7,0.8,2.0,8.8
344,Shake Milton\miltosh01,SG,24,PHI,58,3,23.3,4.8,10.8,.450,1.2,3.2,.358,3.7,7.6,.489,.503,2.3,2.8,.834,0.5,1.7,2.3,3.0,0.6,0.3,1.7,2.1,13.2
345,Donovan Mitchell\mitchdo01,PG,24,UTA,53,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.7,11.9,.476,.520,5.0,6.0,.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,2.2,26.4
346,Adam Mokoka\mokokad01,SG,22,CHI,13,0,4.2,0.5,1.4,.389,0.1,0.8,.100,0.5,0.6,.750,.417,0.0,0.1,.000,0.1,0.3,0.4,0.4,0.2,0.1,0.3,0.4,1.2
347,Malik Monk\monkma01,SG,22,CHO,36,0,22.1,4.5,10.1,.449,2.3,5.3,.426,2.3,4.8,.474,.561,1.6,1.9,.824,0.4,2.2,2.6,2.1,0.5,0.1,1.4,1.2,12.9
348,E'Twaun Moore\mooreet01,SG,31,PHO,25,1,14.2,1.7,4.2,.406,0.3,1.3,.250,1.4,3.0,.473,.443,0.4,0.5,.833,0.5,1.2,1.7,1.4,0.6,0.2,0.8,1.2,4.2
349,Ja Morant\moranja01,PG,21,MEM,58,58,32.3,6.9,15.3,.453,1.1,3.7,.304,5.8,11.6,.501,.490,4.4,6.0,.738,0.9,3.0,3.9,7.3,0.9,0.2,3.2,1.4,19.4
350,Juwan Morgan\morgaju01,PF,23,UTA,27,0,5.1,0.5,1.0,.481,0.1,0.5,.308,0.3,0.5,.643,.556,0.1,0.3,.429,0.3,0.7,1.0,0.3,0.1,0.0,0.1,0.8,1.2
351,Marcus Morris\morrima03,PF,31,LAC,53,25,26.7,4.9,10.4,.472,2.5,5.3,.475,2.4,5.1,.469,.593,1.2,1.5,.825,0.6,3.6,4.2,1.1,0.6,0.2,1.0,2.1,13.6
352,Markieff Morris\morrima02,PF,31,LAL,58,26,20.0,2.5,6.2,.408,1.1,3.5,.309,1.4,2.7,.539,.496,0.6,0.8,.708,0.8,3.7,4.4,1.2,0.4,0.3,0.9,1.7,6.7
353,Monte Morris\morrimo01,PG,25,DEN,44,13,26.2,4.0,8.3,.477,1.1,3.0,.377,2.8,5.3,.532,.544,1.3,1.6,.789,0.3,1.9,2.2,3.2,0.7,0.3,0.7,1.0,10.3
354,Mychal Mulder\muldemy01,PG,26,GSW,55,5,11.9,1.9,4.1,.453,1.3,3.3,.398,0.5,0.8,.682,.613,0.2,0.3,.579,0.1,0.8,1.0,0.4,0.2,0.2,0.3,0.9,5.2
355,Dejounte Murray\murrade01,PG,24,SAS,61,61,31.9,6.5,14.4,.454,1.0,3.0,.332,5.5,11.4,.486,.489,1.7,2.0,.808,0.8,6.2,7.1,5.3,1.5,0.1,1.8,2.1,15.7
356,Jamal Murray\murraja01,PG,23,DEN,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,.559,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2
357,Mike Muscala\muscami01,C,29,OKC,35,0,18.4,3.4,7.6,.446,1.9,5.3,.370,1.5,2.4,.614,.573,0.9,1.0,.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
358,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,23,TOT,62,14,19.8,2.9,7.2,.405,1.5,4.6,.333,1.4,2.6,.535,.512,0.6,0.8,.771,0.4,2.1,2.5,1.6,0.7,0.2,1.3,0.9,8.0
359,Abdel Nader\naderab01,SF,27,PHO,24,0,14.8,2.4,4.8,.491,0.8,1.8,.419,1.6,3.0,.534,.569,1.2,1.5,.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7
360,Larry Nance Jr.\nancela02,PF,28,CLE,35,27,31.2,3.7,7.8,.471,1.2,3.3,.360,2.5,4.5,.551,.546,0.9,1.4,.612,1.5,5.2,6.7,3.1,1.7,0.5,1.6,2.1,9.3
361,Aaron Nesmith\nesmiaa01,SF,21,BOS,40,0,13.9,1.6,3.5,.443,0.9,2.3,.385,0.7,1.2,.551,.568,0.4,0.5,.700,0.6,2.0,2.5,0.4,0.3,0.2,0.5,1.7,4.3
362,Raul Neto\netora01,PG,28,WAS,61,19,21.6,3.2,6.9,.469,1.0,2.6,.403,2.2,4.3,.510,.545,1.1,1.3,.873,0.4,2.0,2.4,2.3,1.1,0.1,0.8,1.6,8.7
363,Georges Niang\niangge01,PF,27,UTA,66,6,15.4,2.3,5.4,.427,1.6,3.9,.415,0.7,1.5,.458,.578,0.2,0.2,1.000,0.4,2.1,2.5,0.8,0.3,0.1,0.7,1.6,6.4
364,Zeke Nnaji\nnajize01,PF,20,DEN,40,1,9.1,1.1,2.4,.474,0.5,1.3,.377,0.6,1.1,.595,.579,0.3,0.4,.800,0.3,1.1,1.5,0.2,0.2,0.1,0.2,0.7,3.1
365,Nerlens Noel\noelne01,C,26,NYK,58,35,23.8,2.2,3.5,.610,0.0,0.1,.000,2.2,3.5,.619,.610,0.8,1.1,.698,2.3,4.1,6.4,0.8,1.1,2.2,1.1,2.7,5.1
366,Jaylen Nowell\nowelja01,SG,21,MIN,38,0,18.8,3.6,8.4,.428,1.2,3.7,.338,2.3,4.7,.497,.502,1.1,1.3,.824,0.5,1.9,2.3,1.6,0.6,0.3,0.7,1.8,9.5
367,Frank Ntilikina\ntilila01,PG,22,NYK,27,4,10.0,0.9,2.5,.358,0.7,1.4,.462,0.2,1.0,.214,.493,0.3,0.7,.444,0.2,0.8,1.0,0.6,0.6,0.1,0.4,1.4,2.7
368,Kendrick Nunn\nunnke01,PG,25,MIA,51,39,29.5,5.5,11.7,.473,2.2,5.8,.385,3.3,5.9,.560,.569,1.0,1.1,.926,0.4,2.8,3.1,2.7,1.0,0.2,1.5,1.9,14.3
369,James Nunnally\nunnaja01,SF,30,NOP,6,0,6.2,0.7,1.7,.400,0.5,1.5,.333,0.2,0.2,1.000,.550,0.2,0.3,.500,0.3,0.8,1.2,0.3,0.0,0.0,0.2,0.2,2.0
370,Jusuf Nurkić\nurkiju01,C,26,POR,31,31,23.3,4.3,8.5,.506,0.4,0.9,.393,4.0,7.6,.519,.526,1.9,2.9,.637,2.1,6.5,8.6,3.2,0.9,1.0,2.0,2.8,10.9
371,David Nwaba\nwabada01,SF,28,HOU,30,9,22.6,3.5,7.3,.486,0.6,2.1,.270,3.0,5.2,.574,.525,1.6,2.3,.691,1.3,2.6,3.9,1.0,1.0,0.7,0.6,2.0,9.2
372,Jordan Nwora\nworajo01,SF,22,MIL,26,2,8.8,1.8,4.2,.440,0.9,2.0,.453,0.9,2.2,.429,.550,0.7,0.8,.810,0.2,1.5,1.7,0.3,0.5,0.2,0.8,0.7,5.3
373,Royce O'Neale\onealro01,SF,27,UTA,65,65,31.7,2.4,5.4,.448,1.5,3.8,.388,0.9,1.6,.592,.585,0.6,0.6,.857,1.2,5.8,7.0,2.6,0.8,0.5,1.1,2.6,6.9
374,Semi Ojeleye\ojelese01,PF,26,BOS,52,13,17.3,1.6,4.0,.402,1.1,2.9,.380,0.5,1.1,.458,.538,0.5,0.6,.750,0.6,2.1,2.6,0.7,0.3,0.0,0.4,1.0,4.8
375,Jahlil Okafor\okafoja01,C,25,DET,22,0,12.1,2.3,3.5,.641,0.1,0.3,.286,2.2,3.2,.676,.654,0.5,0.7,.688,0.7,1.5,2.3,0.6,0.2,0.2,0.6,1.2,5.1
376,Chuma Okeke\okekech01,PF,22,ORL,45,19,25.2,3.0,7.2,.417,1.1,3.1,.348,1.9,4.1,.470,.492,0.7,0.9,.750,0.9,3.1,4.0,2.2,1.1,0.5,0.8,1.1,7.8
377,Josh Okogie\okogijo01,SG,22,MIN,53,37,21.0,1.8,4.5,.403,0.5,1.9,.273,1.3,2.6,.496,.460,1.5,1.8,.802,1.1,1.7,2.7,1.1,0.9,0.4,0.7,2.2,5.6
378,Onyeka Okongwu\okongon01,C,20,ATL,46,3,11.6,1.7,2.7,.637,0.0,0.1,.000,1.7,2.6,.653,.637,0.7,1.1,.660,1.1,1.9,3.0,0.3,0.5,0.7,0.5,2.0,4.2
379,Isaac Okoro\okorois01,SG,20,CLE,61,61,32.0,3.2,7.6,.425,0.9,2.9,.298,2.4,4.7,.503,.482,1.6,2.2,.735,1.0,1.9,2.9,1.8,1.0,0.4,1.3,2.7,9.0
380,KZ Okpala\okpalkz01,PF,21,MIA,34,9,12.0,0.9,2.6,.345,0.4,1.4,.245,0.5,1.1,.474,.414,0.1,0.3,.300,0.6,1.3,1.8,0.5,0.2,0.3,0.4,1.6,2.2
381,Victor Oladipo\oladivi01,SG,28,TOT,33,33,32.7,7.1,17.5,.408,2.4,7.2,.326,4.8,10.2,.466,.476,3.2,4.2,.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8
382,Kelly Olynyk\olynyke01,C-PF,29,TOT,65,57,28.6,4.8,9.8,.489,1.8,5.3,.337,3.0,4.4,.672,.581,1.6,1.9,.825,1.3,5.6,6.9,2.6,1.1,0.6,1.7,2.9,12.9
383,Miye Oni\onimi01,SG,23,UTA,48,0,9.4,0.7,1.9,.367,0.6,1.7,.350,0.1,0.2,.500,.522,0.1,0.1,.833,0.4,1.3,1.7,0.5,0.2,0.2,0.3,1.1,2.1
384,Cedi Osman\osmande01,SF,25,CLE,56,23,25.3,3.6,9.8,.369,1.7,5.4,.309,1.9,4.3,.444,.455,1.3,1.6,.791,0.7,2.7,3.4,2.8,0.9,0.2,1.2,2.0,10.2
385,Daniel Oturu\oturuda01,C,21,LAC,26,0,4.1,0.6,1.1,.517,0.0,0.0,.000,0.6,1.1,.536,.517,0.2,0.3,.625,0.5,0.7,1.2,0.3,0.1,0.2,0.2,0.7,1.3
386,Kelly Oubre Jr.\oubreke01,SF,25,GSW,55,50,30.7,5.8,13.2,.439,1.6,5.2,.316,4.1,8.0,.519,.501,2.2,3.2,.695,1.5,4.5,6.0,1.3,1.0,0.8,1.3,2.2,15.4
387,Jabari Parker\parkeja01,PF,25,TOT,10,0,11.1,1.9,3.5,.543,0.0,0.5,.000,1.9,3.0,.633,.543,0.3,0.4,.750,0.8,2.2,3.0,0.7,0.1,0.4,0.8,0.9,4.1
388,Eric Paschall\pascher01,PF,24,GSW,39,2,17.3,3.7,7.5,.491,0.4,1.4,.321,3.3,6.2,.529,.520,1.6,2.3,.719,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5
389,Anžejs Pasečņiks\pasecan01,C,25,WAS,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,0.0
390,Patrick Patterson\pattepa01,PF,31,LAC,36,4,14.2,1.8,4.0,.434,1.0,2.8,.364,0.8,1.3,.587,.559,0.3,0.4,.750,0.4,1.4,1.9,0.6,0.4,0.2,0.3,1.2,4.8
391,Justin Patton\pattoju01,C,23,HOU,13,6,19.0,2.2,5.4,.414,0.7,2.6,.265,1.5,2.8,.556,.479,0.2,0.3,.750,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4
392,Chris Paul\paulch01,PG,35,PHO,65,65,31.5,6.2,12.5,.491,1.4,3.7,.388,4.7,8.8,.535,.549,2.4,2.6,.935,0.4,4.1,4.5,8.8,1.4,0.3,2.2,2.3,16.2
393,Cameron Payne\payneca01,PG,26,PHO,54,0,17.5,2.9,6.2,.462,1.1,2.6,.404,1.8,3.6,.505,.548,0.8,0.9,.875,0.3,2.1,2.4,3.5,0.6,0.3,1.0,1.7,7.5
394,Elfrid Payton\paytoel01,PG,26,NYK,57,57,24.5,4.6,10.5,.443,0.5,1.7,.295,4.1,8.8,.471,.466,1.3,1.8,.686,1.1,2.5,3.6,3.4,0.8,0.2,1.7,1.8,11.0
395,Gary Payton II\paytoga02,PG,28,GSW,10,0,4.0,1.0,1.3,.769,0.2,0.4,.500,0.8,0.9,.889,.846,0.3,0.4,.750,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
396,Norvel Pelle\pelleno01,C,27,TOT,12,0,6.8,0.7,1.3,.533,0.0,0.0,,0.7,1.3,.533,.533,0.3,0.5,.667,0.5,1.1,1.6,0.2,0.1,0.8,0.3,1.2,1.7
397,Reggie Perry\perryre01,PF,20,BRK,23,0,8.8,1.4,3.3,.421,0.2,0.9,.190,1.2,2.4,.509,.447,0.4,0.6,.769,1.1,1.9,3.0,0.6,0.3,0.3,0.6,1.6,3.4
398,Theo Pinson\pinsoth01,SG,25,NYK,17,0,2.0,0.1,0.5,.111,0.0,0.5,.000,0.1,0.1,1.000,.111,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.2,0.1
399,Mason Plumlee\plumlma01,C,30,DET,55,55,26.8,4.1,6.8,.613,0.0,0.1,.000,4.1,6.6,.625,.613,2.1,3.1,.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.3
400,Jakob Poeltl\poeltja01,C,25,SAS,63,45,26.3,3.8,6.1,.626,0.0,0.0,,3.8,6.1,.626,.626,0.9,1.9,.504,3.2,4.6,7.8,1.9,0.7,1.7,1.3,2.5,8.5
401,Vincent Poirier\poirivi01,C,27,PHI,10,0,3.9,0.3,1.2,.250,0.0,0.1,.000,0.3,1.1,.273,.250,0.2,0.6,.333,0.6,0.8,1.4,0.2,0.0,0.3,0.4,0.8,0.8
402,Aleksej Pokusevski\pokusal01,PF,19,OKC,41,24,23.4,2.9,8.8,.325,1.2,4.5,.259,1.7,4.3,.394,.392,0.7,0.8,.794,0.7,3.9,4.6,2.1,0.5,1.0,2.0,1.3,7.5
403,Jordan Poole\poolejo01,SG,21,GSW,46,6,18.6,3.7,9.0,.413,1.7,5.1,.335,2.0,3.8,.517,.508,1.8,2.1,.866,0.2,1.5,1.7,2.0,0.5,0.2,0.9,1.7,10.9
404,Jontay Porter\portejo01,PF,21,MEM,9,0,3.0,0.3,1.1,.300,0.2,0.8,.286,0.1,0.3,.333,.400,0.3,0.3,1.000,0.2,0.9,1.1,0.1,0.2,0.0,0.6,0.7,1.2
405,Kevin Porter Jr.\porteke02,SG,20,HOU,26,23,32.1,6.0,14.1,.425,1.9,6.2,.311,4.1,7.9,.515,.493,2.7,3.6,.734,0.8,3.0,3.8,6.3,0.7,0.3,3.5,2.3,16.6
406,Michael Porter Jr.\portemi01,SF,22,DEN,56,49,31.6,7.2,13.3,.543,2.7,6.1,.441,4.5,7.2,.629,.644,1.7,2.2,.776,1.5,6.0,7.5,1.1,0.6,1.0,1.2,2.1,18.8
407,Otto Porter Jr.\porteot01,SF-PF,27,TOT,28,6,21.6,3.5,8.1,.432,1.4,3.7,.375,2.1,4.4,.480,.518,1.3,1.5,.857,1.0,4.4,5.4,2.0,0.6,0.1,0.9,1.5,9.7
408,Bobby Portis\portibo01,C,25,MIL,61,7,21.0,4.7,9.0,.524,1.1,2.4,.469,3.6,6.6,.544,.587,0.8,1.0,.742,1.8,5.3,7.1,1.1,0.8,0.4,0.9,1.8,11.3
409,Kristaps Porzings\porzikr01,C,25,DAL,40,40,31.1,7.6,16.0,.473,2.2,6.1,.362,5.4,9.9,.542,.542,2.8,3.3,.850,1.9,7.1,9.1,1.6,0.5,1.4,1.3,2.7,20.2
410,Dwight Powell\poweldw01,C,29,DAL,52,16,15.8,2.0,3.3,.600,0.1,0.4,.238,1.9,2.9,.651,.615,1.7,2.1,.775,1.3,2.5,3.9,0.9,0.7,0.4,0.6,2.2,5.7
411,Norman Powell\powelno01,SG-SF,27,TOT,63,52,31.6,6.4,13.3,.482,2.5,6.1,.411,3.9,7.3,.540,.575,3.4,3.9,.866,0.6,2.4,3.0,1.9,1.2,0.3,1.7,2.3,18.7
412,Taurean Prince\princta02,PF,26,TOT,41,10,22.1,3.2,8.0,.401,1.5,3.8,.400,1.7,4.2,.401,.495,1.6,1.9,.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5
413,Payton Pritchard\pritcpa01,SG,23,BOS,60,2,19.3,2.8,6.2,.456,1.5,3.6,.424,1.3,2.6,.500,.580,0.7,0.7,.907,0.5,1.8,2.3,1.8,0.5,0.2,0.9,1.6,7.8
414,Immanuel Quickley\quickim01,PG,21,NYK,61,3,19.6,3.7,9.2,.399,1.9,4.8,.397,1.8,4.4,.401,.503,2.5,2.8,.889,0.4,1.8,2.2,2.1,0.5,0.2,0.9,1.8,11.7
415,Jahmi'us Ramsey\ramseja01,SG,19,SAC,9,0,3.9,0.8,1.6,.500,0.2,0.9,.250,0.6,0.7,.833,.571,0.0,0.0,,0.1,0.6,0.7,0.3,0.2,0.1,0.2,0.1,1.8
416,Chasson Randle\randlch01,PG,27,ORL,35,5,19.8,2.1,5.4,.388,1.1,2.9,.359,1.0,2.4,.424,.487,0.7,1.0,.765,0.1,1.7,1.8,1.8,0.5,0.1,1.2,1.5,6.0
417,Julius Randle\randlju01,PF,26,NYK,65,65,37.3,8.5,18.4,.461,2.3,5.4,.420,6.2,13.0,.478,.523,4.8,6.0,.809,1.2,9.0,10.2,5.9,0.9,0.3,3.4,3.1,24.1
418,Cam Reddish\reddica01,SF,21,ATL,26,21,28.8,3.7,10.1,.365,1.3,4.8,.262,2.4,5.3,.460,.428,2.6,3.2,.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2
419,J.J. Redick\redicjj01,SG,36,TOT,42,0,16.9,2.5,6.2,.400,1.5,4.1,.372,1.0,2.1,.455,.523,1.2,1.2,.942,0.1,1.4,1.5,1.2,0.3,0.1,0.8,1.1,7.6
420,Paul Reed\reedpa01,PF,21,PHI,22,0,6.4,1.4,2.6,.526,0.0,0.3,.000,1.4,2.3,.588,.526,0.0,0.2,.250,0.9,1.1,2.0,0.3,0.4,0.5,0.5,1.0,2.8
421,Naz Reid\reidna01,C,21,MIN,64,15,19.3,4.3,8.3,.518,0.9,2.5,.356,3.4,5.8,.587,.571,1.7,2.4,.706,1.1,3.4,4.5,1.0,0.5,1.1,1.0,2.5,11.2
422,Cameron Reynolds\reynoca01,SF,25,SAS,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
423,Nick Richards\richani01,PF,23,CHO,18,0,3.5,0.2,0.5,.444,0.0,0.1,.000,0.2,0.4,.500,.444,0.4,0.6,.636,0.2,0.4,0.6,0.1,0.0,0.0,0.2,0.4,0.8
424,Josh Richardson\richajo01,SG,27,DAL,53,53,31.3,4.4,10.5,.423,1.5,4.7,.327,2.9,5.8,.502,.496,1.8,1.9,.912,0.8,2.5,3.4,2.7,1.0,0.4,1.4,2.3,12.2
425,Grant Riller\rillegr01,PG,23,CHO,6,0,3.8,1.3,1.8,.727,0.3,0.7,.500,1.0,1.2,.857,.818,0.0,0.0,,0.0,0.2,0.2,0.5,0.2,0.0,0.2,0.0,3.0
426,Austin Rivers\riverau01,SG,28,TOT,30,2,22.6,2.7,6.5,.413,1.3,3.9,.345,1.4,2.7,.513,.515,0.7,0.9,.741,0.2,2.0,2.2,2.2,0.8,0.1,0.9,1.6,7.4
427,Andre Roberson\roberan03,SG,29,BRK,5,0,12.6,0.4,2.8,.143,0.2,1.6,.125,0.2,1.2,.167,.179,0.2,0.4,.500,1.4,1.6,3.0,0.8,0.6,0.2,0.4,0.8,1.2
